date,region,product,ticket_id,ticket_text,issue_type,severity
2026-08-27,South,XPhone Pro,TCK-1000,Delivery partner reports logistics bottleneck in South region,delivery_delay,high
2026-08-24,South,XPhone Pro,TCK-1001,"Customer complaint: delivery promised in 2 days, now showing 7 days",delivery_delay,critical
2026-08-24,South,XPhone Pro,TCK-1002,"XPhone Pro shipment stuck at warehouse, estimated 3-day delay",delivery_delay,high
2026-08-26,South,XPhone Pro,TCK-1003,"Order #XXXXX delayed by 5 days, customer requesting cancellation",delivery_delay,high
2026-08-26,South,XPhone Pro,TCK-1004,"XPhone Pro shipment stuck at warehouse, estimated 3-day delay",delivery_delay,high
2026-08-21,South,XPhone Pro,TCK-1005,Delivery partner reports logistics bottleneck in South region,delivery_delay,critical
2026-08-23,South,XPhone Pro,TCK-1006,"Customer complaint: delivery promised in 2 days, now showing 7 days",delivery_delay,high
2026-08-23,South,XPhone Pro,TCK-1007,"Order #XXXXX delayed by 5 days, customer requesting cancellation",delivery_delay,high
2026-08-25,South,XPhone Pro,TCK-1008,Delivery partner reports logistics bottleneck in South region,delivery_delay,high
2026-08-26,South,XPhone Pro,TCK-1009,"Customer complaint: delivery promised in 2 days, now showing 7 days",delivery_delay,critical
2026-08-24,South,XPhone Pro,TCK-1010,"Order #XXXXX delayed by 5 days, customer requesting cancellation",delivery_delay,high
2026-08-21,South,XPhone Pro,TCK-1011,"Customer complaint: delivery promised in 2 days, now showing 7 days",delivery_delay,critical
2026-07-01,South,TabMax,TCK-1012,Standard baseline support ticket text,general_inquiry,high
2026-07-11,East,XPhone Pro,TCK-1013,Standard baseline support ticket text,billing_issue,medium
2026-08-02,South,TabMax,TCK-1014,Standard baseline support ticket text,product_defect,critical
2026-07-23,South,TabMax,TCK-1015,Standard baseline support ticket text,general_inquiry,low
2026-07-02,West,XPhone Pro,TCK-1016,Standard baseline support ticket text,general_inquiry,critical
2026-08-23,North,NovaWatch,TCK-1017,Standard baseline support ticket text,billing_issue,high
2026-07-31,North,XPhone Pro,TCK-1018,Standard baseline support ticket text,feature_request,low
2026-08-19,South,XPhone Pro,TCK-1019,Standard baseline support ticket text,billing_issue,critical
2026-08-18,West,NovaWatch,TCK-1020,Standard baseline support ticket text,delivery_delay,low
2026-07-22,West,XPhone Pro,TCK-1021,Standard baseline support ticket text,billing_issue,critical
2026-08-06,South,TabMax,TCK-1022,Standard baseline support ticket text,billing_issue,critical
2026-08-26,North,NovaWatch,TCK-1023,Standard baseline support ticket text,product_defect,high
2026-07-04,North,XPhone Pro,TCK-1024,Standard baseline support ticket text,product_defect,critical
2026-08-23,West,NovaWatch,TCK-1025,Standard baseline support ticket text,billing_issue,critical
2026-08-16,North,NovaWatch,TCK-1026,Standard baseline support ticket text,delivery_delay,critical
